frame,time_sec,people_count,track_id,x1,y1,x2,y2,centre_x,centre_y,distance_px,speed_px_per_second
2,0.066638,21,3,905.424500,230.742325,1007.204590,275.209076,956.314545,252.975700,1.403935,42.136292
2,0.066638,21,4,341.785187,190.201080,411.259918,243.341980,376.522552,216.771530,1.043497,31.318461
2,0.066638,21,5,696.768127,171.464340,761.380188,235.988846,729.074158,203.726593,2.140432,64.240775
2,0.066638,21,6,522.110718,20.996967,563.902405,87.328033,543.006561,54.162500,1.894183,56.850108
2,0.066638,21,7,1031.931885,204.925095,1145.350708,254.180481,1088.641296,229.552788,2.298273,68.978078
2,0.066638,21,8,280.074463,8.521302,348.641113,73.693268,314.357788,41.107285,0.495313,14.865816
2,0.066638,21,9,259.761353,235.741318,334.750427,285.167267,297.255890,260.454292,1.837021,55.134522
2,0.066638,21,10,766.313660,131.805420,825.732361,185.401611,796.023010,158.603516,0.802702,24.091493
2,0.066638,21,11,220.148193,186.895538,321.547974,239.434631,270.848083,213.165085,2.263278,67.927775
2,0.066638,21,12,254.674484,108.856995,330.776611,163.804092,292.725548,136.330544,0.305602,9.172040
2,0.066638,21,13,173.497803,26.270771,271.603241,83.750900,222.550522,55.010836,1.452573,43.596069
2,0.066638,21,14,1019.534912,159.455917,1132.541748,219.060486,1076.038330,189.258202,3.729129,111.922350
2,0.066638,21,15,388.012695,244.757614,447.780029,283.549408,417.896362,264.153511,3.313077,99.435369
2,0.066638,21,16,193.608444,69.630829,294.128113,125.817787,243.868279,97.724308,2.491026,74.763177
2,0.066638,21,17,1092.921509,40.346577,1174.581055,86.336075,1133.751282,63.341326,1.457850,43.754466
2,0.066638,21,18,484.188568,108.870720,528.267090,167.242752,506.227829,138.056736,2.398223,71.977865
2,0.066638,21,20,386.833527,132.541107,444.866882,182.252731,415.850204,157.396919,2.788693,83.697033
2,0.066638,21,21,12.413547,245.254288,148.611938,290.945770,80.512743,268.100029,2.901450,87.081208
